word,count,rank
pop,9,847
popped,9,848
anyway,9,849
our,9,850
handle,9,851
saucer,9,852
works,9,853
Robin's,9,854
Bobo,9,855
asked,9,856
baseball,9,857
shaving,9,858
cream,9,859
Mrs,9,860
Mother,9,861
special,9,862
friends,9,863
each_other,9,864
c,9,865
tray,9,866
quarts,9,867
city,9,868
start,9,869
hop,8,870
shower,8,871
reach,8,872
bumble,8,873
tattooed,8,874
briefcase,8,875
glove,8,876
doggie's,8,877
bat,8,878
pillows,8,879
bell,8,880
nobody,8,881
candy,8,882
windmill,8,883
football,8,884
they'll,8,885
myself,8,886
breaking,8,887
giraffe,8,888
hippopotamus,8,889
rhinoceros,8,890
e,8,891
o,8,892
mitten,8,893
lives,8,894
carry,8,895
wood,8,896
bears,8,897
nineteen,8,898
bank,8,899
meow,8,900
ago,8,901
fireman,8,902
hi,8,903
teeth,8,904
office,8,905
taste,8,906
smoke,8,907
medicine,8,908
blanket,8,909
point,8,910
watching,8,911
unicorn,8,912
shelf,8,913
threw,8,914
tied,8,915
inside,8,916
quite,8,917
she'll,8,918
oh_my_goodness,8,919
bow,8,920
dum_dum,8,921
camera,8,922
cookie,8,923
turns,8,924
plate,8,925
numbers,8,926
frightened,8,927
scooter,8,928
cows,8,929
pineapple,8,930
feather,8,931
lock,8,932
bean,8,933
match,8,934
others,8,935
yard,8,936
except,8,937
cover,8,938
flying,8,939
rest,8,940
understands,8,941
someone,8,942
painted,8,943
sixty,8,944
arms,8,945
further,8,946
how're,8,947
beginning,8,948
Jocko,8,949
bull,8,950
few,8,951
drill,8,952
oink,8,953
Goldilocks,8,954
one's,7,955
sat,7,956
night_night,7,957
working,7,958
plays,7,959
goodbye,7,960
horsie,7,961
later,7,962
steam,7,963
p,7,964
picking,7,965
pocketbook,7,966
Miss,7,967
star,7,968
horses,7,969
love,7,970
belongs,7,971
front,7,972
Jack,7,973
pad,7,974
raining,7,975
gloves,7,976
sick,7,977
bench,7,978
happen,7,979
flag,7,980
radiator,7,981
picked,7,982
roller,7,983
fast,7,984
crayon,7,985
pipe,7,986
corn,7,987
cranberry,7,988
company,7,989
listen,7,990
waking,7,991
save,7,992
painting,7,993
birdies,7,994
banana,7,995
squirrel,7,996
trucks,7,997
stopped,7,998
naughty,7,999
sleepy,7,1000
closed,7,1001
neck,7,1002
moving,7,1003
kitten,7,1004
moustache,7,1005
basketball,7,1006
bunkhouse,7,1007
mouse,7,1008
pan,7,1009
harpsichord,7,1010
cross,7,1011
fishing,7,1012
bandana,7,1013
saddle,7,1014
magazine,7,1015
g,7,1016
throwing,7,1017
blowing,7,1018
pies,7,1019
glue,7,1020
frighten,7,1021
yyy,7,1022
downstairs,7,1023
knew,7,1024
firemen,7,1025
ladies,7,1026
soft,7,1027
knot,7,1028
music,7,1029
babies,7,1030
alike,7,1031
alligator,7,1032
blade,7,1033
Tom,7,1034
nut,7,1035
forgot,7,1036
x,7,1037
cheese,7,1038
vegetables,7,1039
camp,7,1040
sell,7,1041
carpenter,7,1042
marbles,7,1043
picnic,7,1044
tearing,7,1045
dairy,7,1046
Milkman,7,1047
hide,7,1048
father,7,1049
toward,7,1050
Paulie,7,1051
kitty's,6,1052
player,6,1053
climb,6,1054
Donald_Duck,6,1055
piggie,6,1056
m,6,1057
elbow,6,1058
roadgrader,6,1059
rough,6,1060
puppy,6,1061
peas,6,1062
grocery,6,1063
wrote,6,1064
beep,6,1065
welcome,6,1066
needle,6,1067
chicken,6,1068
sky,6,1069
spank,6,1070
baby's,6,1071
shouldn't,6,1072
sand,6,1073
salad,6,1074
soon,6,1075
folder,6,1076
swimming,6,1077
dinner,6,1078
sandwich,6,1079
uses,6,1080
wings,6,1081
kangaroo,6,1082
pliers,6,1083
penguins,6,1084
tickle,6,1085
miss,6,1086
pour,6,1087
rock,6,1088
trains,6,1089
shame,6,1090
ouch,6,1091
shaped,6,1092
Christmas,6,1093
oops,6,1094
high,6,1095
next_to,6,1096
doughnuts,6,1097
slowly,6,1098
rolling,6,1099
upside,6,1100
something's,6,1101
policeman,6,1102
kiss,6,1103
living,6,1104
dance,6,1105
reading,6,1106
swim,6,1107
propeller,6,1108
opened,6,1109
dump,6,1110
believe,6,1111
thinks,6,1112
arrow,6,1113
full,6,1114
f,6,1115
espresso,6,1116
grandson,6,1117
whole,6,1118
Street,6,1119
lights,6,1120
lot,6,1121
puppies,6,1122
balloon,6,1123
rules,6,1124
easier,6,1125
holding,6,1126
blast,6,1127
ducks,6,1128
whether,6,1129
seems,6,1130
houses,6,1131
queen,6,1132
king,6,1133
turtle,6,1134
crawl,6,1135
sign,6,1136
lines,6,1137
visit,6,1138
sword,6,1139
owl,6,1140
each,6,1141
teacher,6,1142
there're,6,1143
buddy,6,1144
Hercules,6,1145
monster,6,1146
bowling,6,1147
sees,6,1148
swordfish,6,1149
dresser,6,1150
Sky_Dart,6,1151
gonna,6,1152
difference,6,1153
dangerous,6,1154
police,6,1155
funnel,6,1156
mosquito,5,1157
fine,5,1158
case,5,1159
copy,5,1160
rocks,5,1161
mustn't,5,1162
hill,5,1163
rain,5,1164
falling,5,1165
dining,5,1166
electric,5,1167
derrick,5,1168
pajamas,5,1169
Dan,5,1170
Texaco,5,1171
donkey,5,1172
peekaboo,5,1173
dat,5,1174
Ricky,5,1175
she'd,5,1176
recognize,5,1177
pulling,5,1178
choo,5,1179
shining,5,1180
week,5,1181
walks,5,1182
Sunday,5,1183
temperature,5,1184
grapefruit,5,1185
fresh,5,1186
running,5,1187
grandfather,5,1188
growing,5,1189
flute,5,1190
Chicken_Little,5,1191
leopard,5,1192
jumped,5,1193
ten,5,1194
jack,5,1195
Cecile,5,1196
wrench,5,1197
wears,5,1198
engine,5,1199
cigarette,5,1200
program,5,1201
mistake,5,1202
squeak,5,1203
parade,5,1204
opener,5,1205
squeeze,5,1206
taxi,5,1207
kittens,5,1208
kinds,5,1209
doughnut,5,1210
easily,5,1211
rather,5,1212
seeing,5,1213
New,5,1214
Ursla,5,1215
fits,5,1216
shot,5,1217
jumping,5,1218
film,5,1219
cereal,5,1220
pink,5,1221
anyplace,5,1222
chairs,5,1223
dogs,5,1224
bands,5,1225
bridge,5,1226
Pembroke,5,1227
card,5,1228
fork,5,1229
Santa,5,1230
grass,5,1231
dollar,5,1232
clown,5,1233
Butch,5,1234
drinking,5,1235
exercise,5,1236
Saturday,5,1237
fifty,5,1238
parts,5,1239
corner,5,1240
swing,5,1241
summer,5,1242
unscrew,5,1243
propellers,5,1244
airplanes,5,1245
hugged,5,1246
snap,5,1247
crackers,5,1248
wheelbarrow,5,1249
puts,5,1250
thinking,5,1251
shooting,5,1252
monkeys,5,1253
cage,5,1254
dish,5,1255
skin,5,1256
trees,5,1257
landing,5,1258
dollies,5,1259
share,5,1260
chest,5,1261
mark,5,1262
married,5,1263
nurse,5,1264
Williams,5,1265
shop,5,1266
times,5,1267
born,5,1268
whales,5,1269
Cecelia,5,1270
names,5,1271
i,5,1272
laugh,5,1273
raccoon,5,1274
Rambler,5,1275
sewing,5,1276
country,5,1277
alphabet,5,1278
falls,5,1279
oven,5,1280
movie,5,1281
race,5,1282
hope,5,1283
Cinderella,5,1284
goodness,5,1285
milkman,5,1286
